iter	Passed	Remaining
0	160	160251
1	161	80705
2	162	54131
3	163	40830
4	165	32853
5	166	27534
6	167	23728
7	168	20877
8	169	18656
9	170	16878
10	171	15425
11	172	14215
12	173	13208
13	175	12333
14	176	11572
15	177	10911
16	178	10331
17	179	9810
18	180	9341
19	182	8918
20	183	8535
21	184	8188
22	185	7868
23	186	7577
24	187	7316
25	188	7068
26	189	6840
27	190	6627
28	191	6428
29	193	6243
30	194	6068
31	195	5905
32	196	5752
33	197	5607
34	198	5471
35	199	5342
36	200	5220
37	201	5106
38	202	4996
39	203	4892
40	204	4793
41	206	4699
42	207	4609
43	208	4523
44	209	4440
45	210	4361
46	211	4286
47	212	4213
48	213	4143
49	214	4076
50	215	4015
51	217	3956
52	218	3898
53	219	3841
54	220	3786
55	221	3733
56	222	3681
57	223	3632
58	224	3584
59	225	3537
60	226	3492
61	227	3448
62	229	3406
63	230	3367
64	231	3328
65	232	3289
66	233	3252
67	234	3208
68	235	3173
69	236	3139
70	237	3105
71	238	3073
72	239	3041
73	240	3010
74	241	2980
75	242	2950
76	243	2923
77	244	2895
78	246	2867
79	247	2841
80	248	2814
81	249	2789
82	250	2764
83	251	2740
84	252	2712
85	253	2690
86	253	2663
87	254	2642
88	256	2620
89	257	2599
90	258	2580
91	259	2560
92	260	2540
93	261	2521
94	262	2502
95	263	2483
96	264	2465
97	265	2446
98	266	2429
99	267	2411
100	269	2395
101	269	2374
102	270	2357
103	271	2343
104	273	2329
105	274	2314
106	275	2299
107	276	2283
108	277	2269
109	278	2254
110	279	2240
111	280	2226
112	281	2212
113	282	2198
114	283	2185
115	284	2170
116	286	2158
117	287	2147
118	288	2133
119	289	2121
120	290	2109
121	291	2097
122	292	2082
123	293	2070
124	294	2058
125	295	2047
126	296	2036
127	296	2023
128	298	2012
129	299	2001
130	300	1991
131	301	1983
132	302	1974
133	304	1966
134	305	1957
135	306	1949
136	308	1941
137	309	1931
138	310	1921
139	311	1912
140	312	1903
141	313	1893
142	314	1886
143	316	1879
144	317	1871
145	318	1863
146	319	1855
147	320	1846
148	321	1837
149	322	1829
150	323	1821
151	325	1813
152	326	1805
153	327	1797
154	328	1789
155	329	1781
156	330	1773
157	331	1765
158	332	1758
159	333	1750
160	334	1743
161	335	1735
162	336	1728
163	337	1721
164	338	1714
165	339	1707
166	340	1700
167	341	1693
168	343	1687
169	344	1680
170	345	1674
171	346	1668
172	347	1662
173	348	1655
174	349	1649
175	351	1643
176	352	1637
177	353	1630
178	354	1624
179	355	1618
180	355	1610
181	357	1604
182	358	1599
183	359	1593
184	360	1587
185	361	1581
186	362	1575
187	363	1570
188	364	1564
189	365	1559
190	366	1553
191	367	1547
192	368	1542
193	370	1537
194	371	1532
195	372	1527
196	373	1521
197	374	1516
198	375	1511
199	376	1506
200	377	1500
201	378	1495
202	379	1490
203	380	1485
204	381	1480
205	382	1475
206	383	1470
207	385	1466
208	386	1461
209	387	1456
210	388	1451
211	389	1447
212	390	1442
213	391	1437
214	392	1433
215	393	1428
216	394	1423
217	395	1419
218	396	1414
219	397	1410
220	399	1406
221	400	1403
222	401	1399
223	402	1395
224	403	1391
225	405	1387
226	406	1383
227	407	1378
228	408	1374
229	409	1370
230	410	1366
231	412	1364
232	413	1362
233	414	1358
234	416	1354
235	417	1350
236	418	1346
237	419	1342
238	420	1338
239	421	1335
240	422	1331
241	423	1327
242	424	1323
243	426	1320
244	427	1316
245	428	1313
246	429	1309
247	430	1305
248	431	1301
249	432	1297
250	433	1294
251	434	1290
252	436	1287
253	437	1283
254	438	1280
255	439	1276
256	440	1273
257	441	1269
258	442	1266
259	443	1262
260	444	1259
261	445	1255
262	446	1251
263	447	1248
264	448	1245
265	450	1241
266	451	1238
267	452	1234
268	453	1231
269	454	1228
270	455	1224
271	456	1221
272	457	1217
273	458	1214
274	459	1211
275	460	1208
276	461	1204
277	462	1201
278	463	1198
279	464	1195
280	466	1192
281	467	1189
282	468	1186
283	469	1183
284	470	1179
285	471	1176
286	472	1173
287	473	1170
288	474	1167
289	475	1164
290	476	1161
291	477	1158
292	478	1155
293	479	1152
294	480	1149
295	482	1146
296	483	1143
297	484	1140
298	485	1137
299	486	1134
300	487	1131
301	488	1128
302	489	1126
303	490	1123
304	491	1120
305	493	1118
306	494	1115
307	495	1112
308	496	1109
309	497	1107
310	498	1104
311	499	1101
312	500	1098
313	501	1096
314	502	1093
315	503	1090
316	505	1088
317	506	1086
318	507	1083
319	508	1080
320	509	1077
321	510	1075
322	511	1072
323	512	1069
324	513	1066
325	514	1064
326	515	1061
327	516	1059
328	517	1056
329	519	1053
330	520	1051
331	521	1048
332	522	1046
333	523	1043
334	524	1041
335	525	1038
336	526	1035
337	527	1033
338	528	1030
339	529	1028
340	530	1025
341	531	1023
342	533	1021
343	534	1019
344	535	1017
345	537	1015
346	538	1012
347	539	1010
348	540	1007
349	541	1005
350	542	1002
351	543	1000
352	544	998
353	545	995
354	546	993
355	547	990
356	548	988
357	549	986
358	550	983
359	552	981
360	553	979
361	554	976
362	555	974
363	556	971
364	557	969
365	558	967
366	559	964
367	560	963
368	562	961
369	563	958
370	564	956
371	565	954
372	566	952
373	567	949
374	568	947
375	569	945
376	570	943
377	571	940
378	572	938
379	573	936
380	575	934
381	576	932
382	577	929
383	578	927
384	579	925
385	580	923
386	581	920
387	582	918
388	583	916
389	584	914
390	585	912
391	586	909
392	587	907
393	588	905
394	589	903
395	590	901
396	592	899
397	593	897
398	594	894
399	595	892
400	596	890
401	597	888
402	598	886
403	599	884
404	600	882
405	601	880
406	602	878
407	603	876
408	605	874
409	606	872
410	607	870
411	608	868
412	609	866
413	610	864
414	611	861
415	612	859
416	613	857
417	614	855
418	615	853
419	616	851
420	618	850
421	619	848
422	620	846
423	621	844
424	622	842
425	623	840
426	624	838
427	625	836
428	626	834
429	627	832
430	628	830
431	629	828
432	630	826
433	632	824
434	633	822
435	634	820
436	635	818
437	636	816
438	637	814
439	638	812
440	639	810
441	640	808
442	641	806
443	642	804
444	643	802
445	644	801
446	646	799
447	647	797
448	648	795
449	649	793
450	650	791
451	651	789
452	652	787
453	653	785
454	654	784
455	655	782
456	656	780
457	657	778
458	658	776
459	660	774
460	661	773
461	662	771
462	664	770
463	665	768
464	666	767
465	667	765
466	668	763
467	669	761
468	671	759
469	672	757
470	673	755
471	674	754
472	675	752
473	676	750
474	677	748
475	678	746
476	679	745
477	680	743
478	681	741
479	682	739
480	683	737
481	684	735
482	685	734
483	686	732
484	688	730
485	689	728
486	690	727
487	691	725
488	692	723
489	693	721
490	694	719
491	695	718
492	696	716
493	697	714
494	698	712
495	699	711
496	700	709
497	701	707
498	703	706
499	704	704
500	705	702
501	706	700
502	707	699
503	708	697
504	709	695
